Volume (L)	Pressure (atm)
678.00	0.0404
679.00	0.0403
680.00	0.0402
681.00	0.0402
682.00	0.0401
683.00	0.0401
684.00	0.0400
685.00	0.0400
686.00	0.0399
687.00	0.0398
688.00	0.0398
689.00	0.0397
690.00	0.0397
691.00	0.0396
692.00	0.0396
693.00	0.0395
694.00	0.0394
695.00	0.0394
696.00	0.0393
697.00	0.0393
698.00	0.0392
699.00	0.0392
700.00	0.0391
701.00	0.0390
702.00	0.0390
703.00	0.0389
704.00	0.0389
705.00	0.0388
706.00	0.0388
707.00	0.0387
708.00	0.0387
709.00	0.0386
710.00	0.0386
711.00	0.0385
712.00	0.0384
713.00	0.0384
714.00	0.0383
715.00	0.0383
716.00	0.0382
717.00	0.0382
718.00	0.0381
719.00	0.0381
720.00	0.0380
721.00	0.0380
722.00	0.0379
723.00	0.0379
724.00	0.0378
725.00	0.0378
726.00	0.0377
727.00	0.0377
728.00	0.0376
729.00	0.0376
730.00	0.0375
731.00	0.0374
732.00	0.0374
733.00	0.0373
734.00	0.0373
735.00	0.0372
736.00	0.0372
737.00	0.0371
738.00	0.0371
739.00	0.0370
740.00	0.0370
741.00	0.0369
742.00	0.0369
743.00	0.0368
744.00	0.0368
745.00	0.0367
746.00	0.0367
747.00	0.0367
748.00	0.0366
749.00	0.0366
750.00	0.0365
751.00	0.0365
752.00	0.0364
753.00	0.0364
754.00	0.0363
755.00	0.0363
756.00	0.0362
757.00	0.0362
758.00	0.0361
759.00	0.0361
760.00	0.0360
761.00	0.0360
762.00	0.0359
763.00	0.0359
764.00	0.0358
765.00	0.0358
766.00	0.0357
767.00	0.0357
768.00	0.0357
769.00	0.0356
770.00	0.0356
771.00	0.0355
772.00	0.0355
773.00	0.0354
774.00	0.0354
775.00	0.0353
776.00	0.0353
777.00	0.0352
778.00	0.0352
779.00	0.0352
780.00	0.0351
781.00	0.0351
782.00	0.0350
783.00	0.0350
784.00	0.0349
785.00	0.0349
786.00	0.0348
787.00	0.0348
788.00	0.0348
789.00	0.0347
790.00	0.0347
791.00	0.0346
792.00	0.0346
793.00	0.0345
794.00	0.0345
795.00	0.0344
796.00	0.0344
797.00	0.0344
798.00	0.0343
799.00	0.0343
800.00	0.0342
801.00	0.0342
802.00	0.0341
803.00	0.0341
804.00	0.0341
805.00	0.0340
806.00	0.0340
807.00	0.0339
808.00	0.0339
809.00	0.0339
810.00	0.0338
811.00	0.0338
812.00	0.0337
813.00	0.0337
814.00	0.0336
815.00	0.0336
816.00	0.0336
817.00	0.0335
818.00	0.0335
819.00	0.0334
820.00	0.0334
821.00	0.0334
822.00	0.0333
823.00	0.0333
824.00	0.0332
825.00	0.0332
826.00	0.0332
827.00	0.0331
828.00	0.0331
829.00	0.0330
830.00	0.0330
831.00	0.0330
832.00	0.0329
833.00	0.0329
834.00	0.0328
835.00	0.0328
836.00	0.0328
837.00	0.0327
838.00	0.0327
839.00	0.0326
840.00	0.0326
841.00	0.0326
842.00	0.0325
843.00	0.0325
844.00	0.0325
845.00	0.0324
846.00	0.0324
847.00	0.0323
848.00	0.0323
849.00	0.0323
850.00	0.0322
851.00	0.0322
852.00	0.0321
853.00	0.0321
854.00	0.0321
855.00	0.0320
856.00	0.0320
857.00	0.0320
858.00	0.0319
859.00	0.0319
860.00	0.0319
861.00	0.0318
862.00	0.0318
863.00	0.0317
864.00	0.0317
865.00	0.0317
866.00	0.0316
867.00	0.0316
868.00	0.0316
869.00	0.0315
870.00	0.0315
871.00	0.0315
872.00	0.0314
873.00	0.0314
874.00	0.0313
875.00	0.0313
876.00	0.0313
877.00	0.0312
878.00	0.0312
879.00	0.0312
880.00	0.0311
881.00	0.0311
882.00	0.0311
883.00	0.0310
884.00	0.0310
885.00	0.0310
886.00	0.0309
887.00	0.0309
888.00	0.0309
889.00	0.0308
890.00	0.0308
891.00	0.0307
892.00	0.0307
893.00	0.0307
894.00	0.0306
895.00	0.0306
896.00	0.0306
897.00	0.0305
898.00	0.0305
899.00	0.0305
900.00	0.0304
901.00	0.0304
902.00	0.0304
903.00	0.0303
904.00	0.0303
905.00	0.0303
906.00	0.0302
907.00	0.0302
908.00	0.0302
909.00	0.0301
910.00	0.0301
911.00	0.0301
912.00	0.0300
913.00	0.0300
914.00	0.0300
915.00	0.0299
916.00	0.0299
917.00	0.0299
918.00	0.0298
919.00	0.0298
920.00	0.0298
921.00	0.0297
922.00	0.0297
923.00	0.0297
924.00	0.0297
925.00	0.0296
926.00	0.0296
927.00	0.0296
928.00	0.0295
929.00	0.0295
930.00	0.0295
931.00	0.0294
932.00	0.0294
933.00	0.0294
934.00	0.0293
935.00	0.0293
936.00	0.0293
937.00	0.0292
938.00	0.0292
939.00	0.0292
940.00	0.0291
941.00	0.0291
942.00	0.0291
943.00	0.0291
944.00	0.0290
945.00	0.0290
946.00	0.0290
947.00	0.0289
948.00	0.0289
949.00	0.0289
950.00	0.0288
951.00	0.0288
952.00	0.0288
953.00	0.0288
954.00	0.0287
955.00	0.0287
956.00	0.0287
957.00	0.0286
958.00	0.0286
959.00	0.0286
960.00	0.0285
961.00	0.0285
962.00	0.0285
963.00	0.0285
964.00	0.0284
965.00	0.0284
966.00	0.0284
967.00	0.0283
968.00	0.0283
969.00	0.0283
970.00	0.0283
971.00	0.0282
972.00	0.0282
973.00	0.0282
974.00	0.0281
975.00	0.0281
976.00	0.0281
977.00	0.0280
978.00	0.0280
979.00	0.0280
980.00	0.0280
981.00	0.0279
982.00	0.0279
983.00	0.0279
984.00	0.0279
985.00	0.0278
986.00	0.0278
987.00	0.0278
